"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
"Total","2002","2002","11 years","11",,,656,4295720,15.271
,"2002","2002","12 years","12","Female","F",304,2134909,14.239
,"2002","2002","12 years","12","Male","M",496,2245442,22.089
"Total","2002","2002","12 years","12",,,800,4380351,18.263
,"2002","2002","13 years","13","Female","F",382,2052880,18.608
,"2002","2002","13 years","13","Male","M",565,2156145,26.204
"Total","2002","2002","13 years","13",,,947,4209025,22.499
,"2002","2002","14 years","14","Female","F",421,2015047,20.893
,"2002","2002","14 years","14","Male","M",673,2117462,31.783
"Total","2002","2002","14 years","14",,,1094,4132509,26.473
,"2002","2002","15 years","15","Female","F",506,1996259,25.347
,"2002","2002","15 years","15","Male","M",911,2101617,43.348
"Total","2002","2002","15 years","15",,,1417,4097876,34.579
,"2002","2002","16 years","16","Female","F",773,2004322,38.567
,"2002","2002","16 years","16","Male","M",1567,2122639,73.823
"Total","2002","2002","16 years","16",,,2340,4126961,56.700
,"2002","2002","17 years","17","Female","F",872,2007233,43.443
,"2002","2002","17 years","17","Male","M",1901,2141357,88.775
"Total","2002","2002","17 years","17",,,2773,4148590,66.842
,"2002","2002","18 years","18","Female","F",915,1971434,46.413
,"2002","2002","18 years","18","Male","M",2524,2112882,119.458
"Total","2002","2002","18 years","18",,,3439,4084316,84.200
,"2002","2002","19 years","19","Female","F",902,2002631,45.041
,"2002","2002","19 years","19","Male","M",2941,2149996,136.791
"Total","2002","2002","19 years","19",,,3843,4152627,92.544
,"2002","2002","20 years","20","Female","F",909,2018607,45.031
,"2002","2002","20 years","20","Male","M",2935,2140289,137.131
"Total","2002","2002","20 years","20",,,3844,4158896,92.428
,"2002","2002","21 years","21","Female","F",1018,2051942,49.612
,"2002","2002","21 years","21","Male","M",3071,2130736,144.129
"Total","2002","2002","21 years","21",,,4089,4182678,97.760
,"2002","2002","22 years","22","Female","F",942,2036887,46.247
,"2002","2002","22 years","22","Male","M",2939,2108849,139.365
"Total","2002","2002","22 years","22",,,3881,4145736,93.614
,"2002","2002","23 years","23","Female","F",875,1931984,45.290
,"2002","2002","23 years","23","Male","M",2879,2004943,143.595
"Total","2002","2002","23 years","23",,,3754,3936927,95.354
,"2002","2002","24 years","24","Female","F",918,1876825,48.912
,"2002","2002","24 years","24","Male","M",2748,1942703,141.452
"Total","2002","2002","24 years","24",,,3666,3819528,95.980
,"2002","2002","25 years","25","Female","F",919,1862425,49.344
,"2002","2002","25 years","25","Male","M",2588,1916744,135.021
"Total","2002","2002","25 years","25",,,3507,3779169,92.798
,"2002","2002","26 years","26","Female","F",942,1813125,51.954
,"2002","2002","26 years","26","Male","M",2645,1856790,142.450
"Total","2002","2002","26 years","26",,,3587,3669915,97.741
,"2002","2002","27 years","27","Female","F",951,1876960,50.667
,"2002","2002","27 years","27","Male","M",2535,1914753,132.393
"Total","2002","2002","27 years","27",,,3486,3791713,91.937
,"2002","2002","28 years","28","Female","F",1052,1824836,57.649
,"2002","2002","28 years","28","Male","M",2499,1857165,134.560
"Total","2002","2002","28 years","28",,,3551,3682001,96.442
,"2002","2002","29 years","29","Female","F",1141,1871240,60.976
,"2002","2002","29 years","29","Male","M",2687,1897302,141.622
"Total","2002","2002","29 years","29",,,3828,3768542,101.578
,"2002","2002","30 years","30","Female","F",1273,1981699,64.238
,"2002","2002","30 years","30","Male","M",2892,2012465,143.704
"Total","2002","2002","30 years","30",,,4165,3994164,104.277
,"2002","2002","31 years","31","Female","F",1412,2098098,67.299
,"2002","2002","31 years","31","Male","M",3113,2112815,147.339
"Total","2002","2002","31 years","31",,,4525,4210913,107.459
,"2002","2002","32 years","32","Female","F",1570,2146046,73.158
,"2002","2002","32 years","32","Male","M",3086,2184931,141.240
"Total","2002","2002","32 years","32",,,4656,4330977,107.505
,"2002","2002","33 years","33","Female","F",1626,2036914,79.827
,"2002","2002","33 years","33","Male","M",3312,2058617,160.885
"Total","2002","2002","33 years","33",,,4938,4095531,120.570
,"2002","2002","34 years","34","Female","F",1733,2007436,86.329
,"2002","2002","34 years","34","Male","M",3379,2019285,167.336
"Total","2002","2002","34 years","34",,,5112,4026721,126.952
,"2002","2002","35 years","35","Female","F",1952,2024887,96.400
,"2002","2002","35 years","35","Male","M",3640,2025303,179.726
"Total","2002","2002","35 years","35",,,5592,4050190,138.068
,"2002","2002","36 years","36","Female","F",2177,2083908,104.467
,"2002","2002","36 years","36","Male","M",3960,2084490,189.975
"Total","2002","2002","36 years","36",,,6137,4168398,147.227
,"2002","2002","37 years","37","Female","F",2511,2230362,112.583
,"2002","2002","37 years","37","Male","M",4540,2229027,203.676
"Total","2002","2002","37 years","37",,,7051,4459389,158.116
,"2002","2002","38 years","38","Female","F",2800,2280768,122.766
,"2002","2002","38 years","38","Male","M",5056,2258080,223.907
"Total","2002","2002","38 years","38",,,7856,4538848,173.084
,"2002","2002","39 years","39","Female","F",3281,2283521,143.682
,"2002","2002","39 years","39","Male","M",5430,2250872,241.240
"Total","2002","2002","39 years","39",,,8711,4534393,192.110
,"2002","2002","40 years","40","Female","F",3448,2291233,150.487
,"2002","2002","40 years","40","Male","M",6074,2260679,268.680
"Total","2002","2002","40 years","40",,,9522,4551912,209.187
,"2002","2002","41 years","41","Female","F",3847,2326545,165.352
,"2002","2002","41 years","41","Male","M",6471,2284301,283.281
"Total","2002","2002","41 years","41",,,10318,4610846,223.777
,"2002","2002","42 years","42","Female","F",4154,2360011,176.016
,"2002","2002","42 years","42","Male","M",6982,2339185,298.480
"Total","2002","2002","42 years","42",,,11136,4699196,236.977
,"2002","2002","43 years","43","Female","F",4571,2279943,200.487
,"2002","2002","43 years","43","Male","M",7382,2235579,330.205
"Total","2002","2002","43 years","43",,,11953,4515522,264.709
,"2002","2002","44 years","44","Female","F",4806,2278277,210.949
,"2002","2002","44 years","44","Male","M",8058,2233678,360.750
"Total","2002","2002","44 years","44",,,12864,4511955,285.109
,"2002","2002","45 years","45","Female","F",5191,2260411,229.649
,"2002","2002","45 years","45","Male","M",8442,2200968,383.559
"Total","2002","2002","45 years","45",,,13633,4461379,305.578
,"2002","2002","46 years","46","Female","F",5248,2180913,240.633
,"2002","2002","46 years","46","Male","M",9130,2120188,430.622
"Total","2002","2002","46 years","46",,,14378,4301101,334.287
,"2002","2002","47 years","47","Female","F",5653,2189603,258.175
,"2002","2002","47 years","47","Male","M",9548,2140507,446.063
"Total","2002","2002","47 years","47",,,15201,4330110,351.053
,"2002","2002","48 years","48","Female","F",6052,2107972,287.101
,"2002","2002","48 years","48","Male","M",10142,2035358,498.291
"Total","2002","2002","48 years","48",,,16194,4143330,390.845
,"2002","2002","49 years","49","Female","F",6220,2046892,303.875
,"2002","2002","49 years","49","Male","M",10439,1969476,530.039
"Total","2002","2002","49 years","49",,,16659,4016368,414.778
,"2002","2002","50 years","50","Female","F",6410,1978124,324.044
,"2002","2002","50 years","50","Male","M",11001,1902885,578.122
"Total","2002","2002","50 years","50",,,17411,3881009,448.620
,"2002","2002","51 years","51","Female","F",6773,1939473,349.219
,"2002","2002","51 years","51","Male","M",11388,1857726,613.008
"Total","2002","2002","51 years","51",,,18161,3797199,478.274
,"2002","2002","52 years","52","Female","F",7022,1930904,363.664
,"2002","2002","52 years","52","Male","M",11933,1854284,643.537
"Total","2002","2002","52 years","52",,,18955,3785188,500.768
,"2002","2002","53 years","53","Female","F",7718,1867431,413.295
,"2002","2002","53 years","53","Male","M",12493,1782978,700.682
"Total","2002","2002","53 years","53",,,20211,3650409,553.664
,"2002","2002","54 years","54","Female","F",8376,1855880,451.322
,"2002","2002","54 years","54","Male","M",13206,1770221,746.009
"Total","2002","2002","54 years","54",,,21582,3626101,595.185
,"2002","2002","55 years","55","Female","F",9216,1940351,474.966
,"2002","2002","55 years","55","Male","M",14490,1847760,784.193
"Total","2002","2002","55 years","55",,,23706,3788111,625.800
,"2002","2002","56 years","56","Female","F",7961,1463840,543.844
,"2002","2002","56 years","56","Male","M",12511,1382872,904.711
"Total","2002","2002","56 years","56",,,20472,2846712,719.145
,"2002","2002","57 years","57","Female","F",8552,1459583,585.921
,"2002","2002","57 years","57","Male","M",12923,1374045,940.508
"Total","2002","2002","57 years","57",,,21475,2833628,757.862
,"2002","2002","58 years","58","Female","F",9401,1444145,650.973
,"2002","2002","58 years","58","Male","M",14163,1348687,1050.132
"Total","2002","2002","58 years","58",,,23564,2792832,843.731
,"2002","2002","59 years","59","Female","F",10481,1494071,701.506
,"2002","2002","59 years","59","Male","M",15743,1387713,1134.456
"Total","2002","2002","59 years","59",,,26224,2881784,909.992
,"2002","2002","60 years","60","Female","F",10440,1323400,788.877
,"2002","2002","60 years","60","Male","M",15373,1217335,1262.841
"Total","2002","2002","60 years","60",,,25813,2540735,1015.966
,"2002","2002","61 years","61","Female","F",10537,1238720,850.636
,"2002","2002","61 years","61","Male","M",15326,1131638,1354.320
"Total","2002","2002","61 years","61",,,25863,2370358,1091.101
,"2002","2002","62 years","62","Female","F",11096,1207560,918.878
,"2002","2002","62 years","62","Male","M",16305,1098596,1484.167
"Total","2002","2002","62 years","62",,,27401,2306156,1188.168
,"2002","2002","63 years","63","Female","F",11690,1150553,1016.033
,"2002","2002","63 years","63","Male","M",16861,1045297,1613.034
"Total","2002","2002","63 years","63",,,28551,2195850,1300.225
,"2002","2002","64 years","64","Female","F",12605,1131435,1114.072
,"2002","2002","64 years","64","Male","M",17668,1015731,1739.437
"Total","2002","2002","64 years","64",,,30273,2147166,1409.905
,"2002","2002","65 years","65","Female","F",13046,1073097,1215.734
,"2002","2002","65 years","65","Male","M",18106,952282,1901.328
"Total","2002","2002","65 years","65",,,31152,2025379,1538.083
,"2002","2002","66 years","66","Female","F",13899,1058192,1313.467
,"2002","2002","66 years","66","Male","M",18993,928349,2045.890
"Total","2002","2002","66 years","66",,,32892,1986541,1655.742
,"2002","2002","67 years","67","Female","F",15318,1064068,1439.570
,"2002","2002","67 years","67","Male","M",20463,922458,2218.312
"Total","2002","2002","67 years","67",,,35781,1986526,1801.185
,"2002","2002","68 years","68","Female","F",15572,981106,1587.188
,"2002","2002","68 years","68","Male","M",20769,840036,2472.394
"Total","2002","2002","68 years","68",,,36341,1821142,1995.506
,"2002","2002","69 years","69","Female","F",17166,987351,1738.591
,"2002","2002","69 years","69","Male","M",22259,831542,2676.834
"Total","2002","2002","69 years","69",,,39425,1818893,2167.527
,"2002","2002","70 years","70","Female","F",18817,978995,1922.073
,"2002","2002","70 years","70","Male","M",24091,813765,2960.437
"Total","2002","2002","70 years","70",,,42908,1792760,2393.405
,"2002","2002","71 years","71","Female","F",20183,979452,2060.642
,"2002","2002","71 years","71","Male","M",25839,802655,3219.191
"Total","2002","2002","71 years","71",,,46022,1782107,2582.449
,"2002","2002","72 years","72","Female","F",22352,997815,2240.095
,"2002","2002","72 years","72","Male","M",27160,800131,3394.444
"Total","2002","2002","72 years","72",,,49512,1797946,2753.809
,"2002","2002","73 years","73","Female","F",23633,948338,2492.044
,"2002","2002","73 years","73","Male","M",28794,749112,3843.751
"Total","2002","2002","73 years","73",,,52427,1697450,3088.574
,"2002","2002","74 years","74","Female","F",25983,948244,2740.118
,"2002","2002","74 years","74","Male","M",30547,731547,4175.672
"Total","2002","2002","74 years","74",,,56530,1679791,3365.300
,"2002","2002","75 years","75","Female","F",28177,924736,3047.032
,"2002","2002","75 years","75","Male","M",31852,696076,4575.937
"Total","2002","2002","75 years","75",,,60029,1620812,3703.637
,"2002","2002","76 years","76","Female","F",29721,899159,3305.422
,"2002","2002","76 years","76","Male","M",32924,655316,5024.141
"Total","2002","2002","76 years","76",,,62645,1554475,4029.978
,"2002","2002","77 years","77","Female","F",32666,893289,3656.823
,"2002","2002","77 years","77","Male","M",34317,629601,5450.595
"Total","2002","2002","77 years","77",,,66983,1522890,4398.414
,"2002","2002","78 years","78","Female","F",34201,852413,4012.257
,"2002","2002","78 years","78","Male","M",35008,583772,5996.862
"Total","2002","2002","78 years","78",,,69209,1436185,4818.947
,"2002","2002","79 years","79","Female","F",35750,799095,4473.811
,"2002","2002","79 years","79","Male","M",35524,537004,6615.221
"Total","2002","2002","79 years","79",,,71274,1336099,5334.485
,"2002","2002","80 years","80","Female","F",39020,769357,5071.768
,"2002","2002","80 years","80","Male","M",36436,499953,7287.885
"Total","2002","2002","80 years","80",,,75456,1269310,5944.647
,"2002","2002","81 years","81","Female","F",40161,725072,5538.898
,"2002","2002","81 years","81","Male","M",36568,455626,8025.881
"Total","2002","2002","81 years","81",,,76729,1180698,6498.614
,"2002","2002","82 years","82","Female","F",41594,672556,6184.466
,"2002","2002","82 years","82","Male","M",35263,402497,8761.059
"Total","2002","2002","82 years","82",,,76857,1075053,7149.136
,"2002","2002","83 years","83","Female","F",40717,582764,6986.876
,"2002","2002","83 years","83","Male","M",32963,337181,9776.055
"Total","2002","2002","83 years","83",,,73680,919945,8009.174
,"2002","2002","84 years","84","Female","F",42143,545663,7723.265
,"2002","2002","84 years","84","Male","M",32649,303734,10749.208
"Total","2002","2002","84 years","84",,,74792,849397,8805.305
,"2002","2002","85 years","85","Female","F",41967,Not Applicable,Not Applicable
,"2002","2002","85 years","85","Male","M",30689,Not Applicable,Not Applicable
"Total","2002","2002","85 years","85",,,72656,Not Applicable,Not Applicable
,"2002","2002","86 years","86","Female","F",42632,Not Applicable,Not Applicable
,"2002","2002","86 years","86","Male","M",29467,Not Applicable,Not Applicable
"Total","2002","2002","86 years","86",,,72099,Not Applicable,Not Applicable
,"2002","2002","87 years","87","Female","F",43066,Not Applicable,Not Applicable
,"2002","2002","87 years","87","Male","M",27256,Not Applicable,Not Applicable
"Total","2002","2002","87 years","87",,,70322,Not Applicable,Not Applicable
,"2002","2002","88 years","88","Female","F",42249,Not Applicable,Not Applicable
,"2002","2002","88 years","88","Male","M",24905,Not Applicable,Not Applicable
"Total","2002","2002","88 years","88",,,67154,Not Applicable,Not Applicable
,"2002","2002","89 years","89","Female","F",40834,Not Applicable,Not Applicable
,"2002","2002","89 years","89","Male","M",22320,Not Applicable,Not Applicable
"Total","2002","2002","89 years","89",,,63154,Not Applicable,Not Applicable
,"2002","2002","90 years","90","Female","F",37906,Not Applicable,Not Applicable
,"2002","2002","90 years","90","Male","M",19043,Not Applicable,Not Applicable
"Total","2002","2002","90 years","90",,,56949,Not Applicable,Not Applicable
,"2002","2002","91 years","91","Female","F",35687,Not Applicable,Not Applicable
,"2002","2002","91 years","91","Male","M",15911,Not Applicable,Not Applicable
"Total","2002","2002","91 years","91",,,51598,Not Applicable,Not Applicable
,"2002","2002","92 years","92","Female","F",32160,Not Applicable,Not Applicable
,"2002","2002","92 years","92","Male","M",13801,Not Applicable,Not Applicable
"Total","2002","2002","92 years","92",,,45961,Not Applicable,Not Applicable
,"2002","2002","93 years","93","Female","F",28829,Not Applicable,Not Applicable
,"2002","2002","93 years","93","Male","M",11088,Not Applicable,Not Applicable
"Total","2002","2002","93 years","93",,,39917,Not Applicable,Not Applicable
,"2002","2002","94 years","94","Female","F",25188,Not Applicable,Not Applicable
,"2002","2002","94 years","94","Male","M",8974,Not Applicable,Not Applicable
"Total","2002","2002","94 years","94",,,34162,Not Applicable,Not Applicable
,"2002","2002","95 years","95","Female","F",20642,Not Applicable,Not Applicable
,"2002","2002","95 years","95","Male","M",6639,Not Applicable,Not Applicable
"Total","2002","2002","95 years","95",,,27281,Not Applicable,Not Applicable
,"2002","2002","96 years","96","Female","F",16698,Not Applicable,Not Applicable
,"2002","2002","96 years","96","Male","M",4926,Not Applicable,Not Applicable
"Total","2002","2002","96 years","96",,,21624,Not Applicable,Not Applicable
,"2002","2002","97 years","97","Female","F",13419,Not Applicable,Not Applicable
,"2002","2002","97 years","97","Male","M",3582,Not Applicable,Not Applicable
"Total","2002","2002","97 years","97",,,17001,Not Applicable,Not Applicable
,"2002","2002","98 years","98","Female","F",10267,Not Applicable,Not Applicable
,"2002","2002","98 years","98","Male","M",2623,Not Applicable,Not Applicable
"Total","2002","2002","98 years","98",,,12890,Not Applicable,Not Applicable
,"2002","2002","99 years","99","Female","F",7734,Not Applicable,Not Applicable
,"2002","2002","99 years","99","Male","M",1752,Not Applicable,Not Applicable
"Total","2002","2002","99 years","99",,,9486,Not Applicable,Not Applicable
,"2002","2002","100+ years","100","Female","F",15892,Not Applicable,Not Applicable
,"2002","2002","100+ years","100","Male","M",2930,Not Applicable,Not Applicable
"Total","2002","2002","100+ years","100",,,18822,Not Applicable,Not Applicable
,"2002","2002","Not Stated","NS","Female","F",75,Not Applicable,Not Applicable
,"2002","2002","Not Stated","NS","Male","M",282,Not Applicable,Not Applicable
"Total","2002","2002","Not Stated","NS",,,357,Not Applicable,Not Applicable
"Total","2002","2002",,,,,2443387,287625193,849.504
,"2003","2003","< 1 year","0","Female","F",12123,1942634,624.050
,"2003","2003","< 1 year","0","Male","M",15902,2033237,782.103
"Total","2003","2003","< 1 year","0",,,28025,3975871,704.877
,"2003","2003","1 year","1","Female","F",804,1926719,41.729
,"2003","2003","1 year","1","Male","M",1060,2009420,52.752
"Total","2003","2003","1 year","1",,,1864,3936139,47.356
,"2003","2003","2 years","2","Female","F",585,1959311,29.857
,"2003","2003","2 years","2","Male","M",753,2043525,36.848
"Total","2003","2003","2 years","2",,,1338,4002836,33.426
,"2003","2003","3 years","3","Female","F",421,1885740,22.325
,"2003","2003","3 years","3","Male","M",582,1974987,29.469
"Total","2003","2003","3 years","3",,,1003,3860727,25.980
,"2003","2003","4 years","4","Female","F",329,1864923,17.641
,"2003","2003","4 years","4","Male","M",431,1951950,22.080
"Total","2003","2003","4 years","4",,,760,3816873,19.912
,"2003","2003","5 years","5","Female","F",270,1867683,14.456
,"2003","2003","5 years","5","Male","M",379,1955885,19.377
"Total","2003","2003","5 years","5",,,649,3823568,16.974
,"2003","2003","6 years","6","Female","F",240,1877108,12.786
,"2003","2003","6 years","6","Male","M",342,1960653,17.443
"Total","2003","2003","6 years","6",,,582,3837761,15.165
,"2003","2003","7 years","7","Female","F",256,1916822,13.355
,"2003","2003","7 years","7","Male","M",309,2007360,15.393
"Total","2003","2003","7 years","7",,,565,3924182,14.398
,"2003","2003","8 years","8","Female","F",236,1946758,12.123
,"2003","2003","8 years","8","Male","M",322,2044317,15.751
"Total","2003","2003","8 years","8",,,558,3991075,13.981
,"2003","2003","9 years","9","Female","F",256,1972876,12.976
,"2003","2003","9 years","9","Male","M",288,2071389,13.904
"Total","2003","2003","9 years","9",,,544,4044265,13.451
,"2003","2003","10 years","10","Female","F",288,2049649,14.051
,"2003","2003","10 years","10","Male","M",395,2155393,18.326
"Total","2003","2003","10 years","10",,,683,4205042,16.242
,"2003","2003","11 years","11","Female","F",273,2077602,13.140
,"2003","2003","11 years","11","Male","M",350,2176445,16.081
"Total","2003","2003","11 years","11",,,623,4254047,14.645
,"2003","2003","12 years","12","Female","F",278,2114378,13.148
,"2003","2003","12 years","12","Male","M",478,2218609,21.545
"Total","2003","2003","12 years","12",,,756,4332987,17.448
,"2003","2003","13 years","13","Female","F",346,2144999,16.131
,"2003","2003","13 years","13","Male","M",565,2256394,25.040
"Total","2003","2003","13 years","13",,,911,4401393,20.698
,"2003","2003","14 years","14","Female","F",361,2058247,17.539
,"2003","2003","14 years","14","Male","M",722,2163637,33.370
"Total","2003","2003","14 years","14",,,1083,4221884,25.652
,"2003","2003","15 years","15","Female","F",489,2032351,24.061
,"2003","2003","15 years","15","Male","M",908,2140303,42.424
"Total","2003","2003","15 years","15",,,1397,4172654,33.480
,"2003","2003","16 years","16","Female","F",705,2012581,35.030
,"2003","2003","16 years","16","Male","M",1481,2126560,69.643
"Total","2003","2003","16 years","16",,,2186,4139141,52.813
,"2003","2003","17 years","17","Female","F",794,2015547,39.394
,"2003","2003","17 years","17","Male","M",1908,2144766,88.961
"Total","2003","2003","17 years","17",,,2702,4160313,64.947
,"2003","2003","18 years","18","Female","F",983,2032257,48.370
,"2003","2003","18 years","18","Male","M",2554,2169578,117.719
"Total","2003","2003","18 years","18",,,3537,4201835,84.178
,"2003","2003","19 years","19","Female","F",918,1993831,46.042
,"2003","2003","19 years","19","Male","M",2855,2129392,134.076
"Total","2003","2003","19 years","19",,,3773,4123223,91.506
,"2003","2003","20 years","20","Female","F",965,2010652,47.994
,"2003","2003","20 years","20","Male","M",2978,2146225,138.755
"Total","2003","2003","20 years","20",,,3943,4156877,94.855
,"2003","2003","21 years","21","Female","F",988,2031746,48.628
,"2003","2003","21 years","21","Male","M",3031,2135808,141.914
"Total","2003","2003","21 years","21",,,4019,4167554,96.435
,"2003","2003","22 years","22","Female","F",1037,2057360,50.404
,"2003","2003","22 years","22","Male","M",3124,2117934,147.502
"Total","2003","2003","22 years","22",,,4161,4175294,99.658
,"2003","2003","23 years","23","Female","F",1012,2048153,49.410
,"2003","2003","23 years","23","Male","M",2992,2099624,142.502
"Total","2003","2003","23 years","23",,,4004,4147777,96.534
,"2003","2003","24 years","24","Female","F",1007,1945812,51.752
,"2003","2003","24 years","24","Male","M",2839,1998374,142.065
"Total","2003","2003","24 years","24",,,3846,3944186,97.511
,"2003","2003","25 years","25","Female","F",946,1898603,49.826
,"2003","2003","25 years","25","Male","M",2669,1943865,137.304
"Total","2003","2003","25 years","25",,,3615,3842468,94.080
,"2003","2003","26 years","26","Female","F",1021,1870192,54.593
,"2003","2003","26 years","26","Male","M",2655,1901518,139.625
"Total","2003","2003","26 years","26",,,3676,3771710,97.462
,"2003","2003","27 years","27","Female","F",1053,1831742,57.486
,"2003","2003","27 years","27","Male","M",2551,1856904,137.379
"Total","2003","2003","27 years","27",,,3604,3688646,97.705
,"2003","2003","28 years","28","Female","F",1034,1882450,54.928
,"2003","2003","28 years","28","Male","M",2542,1912388,132.923
"Total","2003","2003","28 years","28",,,3576,3794838,94.233
,"2003","2003","29 years","29","Female","F",1153,1824117,63.209
,"2003","2003","29 years","29","Male","M",2626,1849806,141.961
"Total","2003","2003","29 years","29",,,3779,3673923,102.860
,"2003","2003","30 years","30","Female","F",1193,1894832,62.961
,"2003","2003","30 years","30","Male","M",2713,1918704,141.398
"Total","2003","2003","30 years","30",,,3906,3813536,102.425
,"2003","2003","31 years","31","Female","F",1346,1979254,68.005
,"2003","2003","31 years","31","Male","M",2910,1994472,145.903
"Total","2003","2003","31 years","31",,,4256,3973726,107.104
,"2003","2003","32 years","32","Female","F",1464,2120394,69.044
,"2003","2003","32 years","32","Male","M",3255,2124673,153.200
"Total","2003","2003","32 years","32",,,4719,4245067,111.164
,"2003","2003","33 years","33","Female","F",1730,2154626,80.292
,"2003","2003","33 years","33","Male","M",3333,2182673,152.703
"Total","2003","2003","33 years","33",,,5063,4337299,116.732
,"2003","2003","34 years","34","Female","F",1758,2044712,85.978
,"2003","2003","34 years","34","Male","M",3348,2057870,162.692
"Total","2003","2003","34 years","34",,,5106,4102582,124.458
,"2003","2003","35 years","35","Female","F",1981,2018457,98.144
,"2003","2003","35 years","35","Male","M",3556,2024193,175.675
"Total","2003","2003","35 years","35",,,5537,4042650,136.965
,"2003","2003","36 years","36","Female","F",2116,2031827,104.143
,"2003","2003","36 years","36","Male","M",3836,2020135,189.888
"Total","2003","2003","36 years","36",,,5952,4051962,146.892
,"2003","2003","37 years","37","Female","F",2397,2087581,114.822
,"2003","2003","37 years","37","Male","M",4242,2077426,204.195
"Total","2003","2003","37 years","37",,,6639,4165007,159.399
,"2003","2003","38 years","38","Female","F",2718,2236167,121.547
,"2003","2003","38 years","38","Male","M",4785,2225884,214.971
"Total","2003","2003","38 years","38",,,7503,4462051,168.151
,"2003","2003","39 years","39","Female","F",3102,2286069,135.691
,"2003","2003","39 years","39","Male","M",5322,2256420,235.860
"Total","2003","2003","39 years","39",,,8424,4542489,185.449
,"2003","2003","40 years","40","Female","F",3476,2285662,152.078
,"2003","2003","40 years","40","Male","M",5736,2243727,255.646
"Total","2003","2003","40 years","40",,,9212,4529389,203.383
,"2003","2003","41 years","41","Female","F",3768,2296230,164.095
,"2003","2003","41 years","41","Male","M",6393,2260614,282.799
"Total","2003","2003","41 years","41",,,10161,4556844,222.983
,"2003","2003","42 years","42","Female","F",4167,2326876,179.081
,"2003","2003","42 years","42","Male","M",6943,2279589,304.572
"Total","2003","2003","42 years","42",,,11110,4606465,241.183
,"2003","2003","43 years","43","Female","F",4444,2363514,188.025
,"2003","2003","43 years","43","Male","M",7585,2335874,324.718
"Total","2003","2003","43 years","43",,,12029,4699388,255.970
,"2003","2003","44 years","44","Female","F",4857,2274320,213.558
,"2003","2003","44 years","44","Male","M",8037,2223641,361.434
"Total","2003","2003","44 years","44",,,12894,4497961,286.663
,"2003","2003","45 years","45","Female","F",5185,2275557,227.856
,"2003","2003","45 years","45","Male","M",8488,2224414,381.584
"Total","2003","2003","45 years","45",,,13673,4499971,303.846
,"2003","2003","46 years","46","Female","F",5587,2262137,246.979
,"2003","2003","46 years","46","Male","M",9386,2200290,426.580
"Total","2003","2003","46 years","46",,,14973,4462427,335.535
,"2003","2003","47 years","47","Female","F",5757,2183207,263.695
,"2003","2003","47 years","47","Male","M",9839,2117276,464.701
"Total","2003","2003","47 years","47",,,15596,4300483,362.657
,"2003","2003","48 years","48","Female","F",6083,2186886,278.158
,"2003","2003","48 years","48","Male","M",10496,2131053,492.526
"Total","2003","2003","48 years","48",,,16579,4317939,383.956
,"2003","2003","49 years","49","Female","F",6422,2109478,304.436
,"2003","2003","49 years","49","Male","M",10930,2032378,537.794
"Total","2003","2003","49 years","49",,,17352,4141856,418.943
,"2003","2003","50 years","50","Female","F",6683,2041746,327.318
,"2003","2003","50 years","50","Male","M",11372,1957066,581.074
"Total","2003","2003","50 years","50",,,18055,3998812,451.509
,"2003","2003","51 years","51","Female","F",7020,1982259,354.141
,"2003","2003","51 years","51","Male","M",11826,1903885,621.151
"Total","2003","2003","51 years","51",,,18846,3886144,484.954
,"2003","2003","52 years","52","Female","F",7340,1935134,379.302
,"2003","2003","52 years","52","Male","M",12166,1846875,658.734
"Total","2003","2003","52 years","52",,,19506,3782009,515.758
,"2003","2003","53 years","53","Female","F",7663,1931805,396.676
,"2003","2003","53 years","53","Male","M",12578,1851585,679.310
"Total","2003","2003","53 years","53",,,20241,3783390,534.996
,"2003","2003","54 years","54","Female","F",8359,1868710,447.314
,"2003","2003","54 years","54","Male","M",13601,1778213,764.869
"Total","2003","2003","54 years","54",,,21960,3646923,602.151
,"2003","2003","55 years","55","Female","F",8954,1848350,484.432
,"2003","2003","55 years","55","Male","M",14307,1753341,815.985
"Total","2003","2003","55 years","55",,,23261,3601691,645.836
,"2003","2003","56 years","56","Female","F",9833,1941139,506.558
,"2003","2003","56 years","56","Male","M",15540,1844529,842.491
"Total","2003","2003","56 years","56",,,25373,3785668,670.238
,"2003","2003","57 years","57","Female","F",8660,1458769,593.651
,"2003","2003","57 years","57","Male","M",13169,1372827,959.261
"Total","2003","2003","57 years","57",,,21829,2831596,770.908
,"2003","2003","58 years","58","Female","F",9403,1456110,645.762
,"2003","2003","58 years","58","Male","M",13913,1365498,1018.896
"Total","2003","2003","58 years","58",,,23316,2821608,826.337
,"2003","2003","59 years","59","Female","F",10301,1437588,716.547
,"2003","2003","59 years","59","Male","M",15259,1336406,1141.794
"Total","2003","2003","59 years","59",,,25560,2773994,921.415
,"2003","2003","60 years","60","Female","F",11428,1481214,771.529
,"2003","2003","60 years","60","Male","M",16717,1368194,1221.830
"Total","2003","2003","60 years","60",,,28145,2849408,987.749
,"2003","2003","61 years","61","Female","F",11140,1322858,842.116
,"2003","2003","61 years","61","Male","M",16369,1212101,1350.465
"Total","2003","2003","61 years","61",,,27509,2534959,1085.185
,"2003","2003","62 years","62","Female","F",11526,1232608,935.090
,"2003","2003","62 years","62","Male","M",16600,1119523,1482.774
