Notes,Year,Year Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
Total,2016,2016,55 years,55,,,28547,4484565,636.561
,2016,2016,56 years,56,Female,F,11931,2311661,516.122
,2016,2016,56 years,56,Male,M,18283,2207097,828.373
Total,2016,2016,56 years,56,,,30214,4518758,668.635
,2016,2016,57 years,57,Female,F,12662,2241986,564.767
,2016,2016,57 years,57,Male,M,19808,2120821,933.978
Total,2016,2016,57 years,57,,,32470,4362807,744.246
,2016,2016,58 years,58,Female,F,13403,2232174,600.446
,2016,2016,58 years,58,Male,M,20868,2100779,993.346
Total,2016,2016,58 years,58,,,34271,4332953,790.939
,2016,2016,59 years,59,Female,F,14288,2213284,645.557
,2016,2016,59 years,59,Male,M,22356,2067741,1081.18
Total,2016,2016,59 years,59,,,36644,4281025,855.963
,2016,2016,60 years,60,Female,F,14892,2139267,696.126
,2016,2016,60 years,60,Male,M,22875,1984701,1152.567
Total,2016,2016,60 years,60,,,37767,4123968,915.793
,2016,2016,61 years,61,Female,F,15278,2122487,719.816
,2016,2016,61 years,61,Male,M,24337,1961475,1240.75
Total,2016,2016,61 years,61,,,39615,4083962,970.014
,2016,2016,62 years,62,Female,F,16291,2044245,796.92
,2016,2016,62 years,62,Male,M,24890,1867184,1333.023
Total,2016,2016,62 years,62,,,41181,3911429,1052.838
,2016,2016,63 years,63,Female,F,16695,1968870,847.948
,2016,2016,63 years,63,Male,M,25337,1788512,1416.653
Total,2016,2016,63 years,63,,,42032,3757382,1118.651
,2016,2016,64 years,64,Female,F,17409,1892535,919.877
,2016,2016,64 years,64,Male,M,26295,1713760,1534.346
Total,2016,2016,64 years,64,,,43704,3606295,1211.881
,2016,2016,65 years,65,Female,F,17934,1839731,974.816
,2016,2016,65 years,65,Male,M,26756,1651159,1620.438
Total,2016,2016,65 years,65,,,44690,3490890,1280.189
,2016,2016,66 years,66,Female,F,18641,1794239,1038.936
,2016,2016,66 years,66,Male,M,27052,1609408,1680.867
Total,2016,2016,66 years,66,,,45693,3403647,1342.472
,2016,2016,67 years,67,Female,F,20160,1741373,1157.707
,2016,2016,67 years,67,Male,M,28132,1553893,1810.421
Total,2016,2016,67 years,67,,,48292,3295266,1465.496
,2016,2016,68 years,68,Female,F,21599,1719694,1255.979
,2016,2016,68 years,68,Male,M,29863,1532242,1948.974
Total,2016,2016,68 years,68,,,51462,3251936,1582.503
,2016,2016,69 years,69,Female,F,23932,1788127,1338.384
,2016,2016,69 years,69,Male,M,32586,1590217,2049.154
Total,2016,2016,69 years,69,,,56518,3378344,1672.95
,2016,2016,70 years,70,Female,F,20393,1325617,1538.378
,2016,2016,70 years,70,Male,M,26854,1161594,2311.823
Total,2016,2016,70 years,70,,,47247,2487211,1899.598
,2016,2016,71 years,71,Female,F,21484,1310054,1639.932
,2016,2016,71 years,71,Male,M,28167,1135596,2480.372
Total,2016,2016,71 years,71,,,49651,2445650,2030.176
,2016,2016,72 years,72,Female,F,23542,1276783,1843.853
,2016,2016,72 years,72,Male,M,29906,1094469,2732.467
Total,2016,2016,72 years,72,,,53448,2371252,2253.999
,2016,2016,73 years,73,Female,F,26233,1304712,2010.635
,2016,2016,73 years,73,Male,M,32437,1108935,2925.059
Total,2016,2016,73 years,73,,,58670,2413647,2430.761
,2016,2016,74 years,74,Female,F,25420,1138891,2231.996
,2016,2016,74 years,74,Male,M,30989,953596,3249.699
Total,2016,2016,74 years,74,,,56409,2092487,2695.787
,2016,2016,75 years,75,Female,F,25708,1043735,2463.077
,2016,2016,75 years,75,Male,M,30756,856476,3590.994
Total,2016,2016,75 years,75,,,56464,1900211,2971.459
,2016,2016,76 years,76,Female,F,25901,984932,2629.725
,2016,2016,76 years,76,Male,M,30677,799334,3837.82
Total,2016,2016,76 years,76,,,56578,1784266,3170.94
,2016,2016,77 years,77,Female,F,27585,920921,2995.371
,2016,2016,77 years,77,Male,M,31459,743645,4230.379
Total,2016,2016,77 years,77,,,59044,1664566,3547.111
,2016,2016,78 years,78,Female,F,28945,882532,3279.768
,2016,2016,78 years,78,Male,M,31783,696383,4564.011
Total,2016,2016,78 years,78,,,60728,1578915,3846.186
,2016,2016,79 years,79,Female,F,29905,812156,3682.174
,2016,2016,79 years,79,Male,M,32176,627781,5125.354
Total,2016,2016,79 years,79,,,62081,1439937,4311.369
,2016,2016,80 years,80,Female,F,31952,773313,4131.833
,2016,2016,80 years,80,Male,M,33035,584947,5647.52
Total,2016,2016,80 years,80,,,64987,1358260,4784.577
,2016,2016,81 years,81,Female,F,33568,740254,4534.66
,2016,2016,81 years,81,Male,M,33672,544044,6189.205
Total,2016,2016,81 years,81,,,67240,1284298,5235.545
,2016,2016,82 years,82,Female,F,34222,660414,5181.901
,2016,2016,82 years,82,Male,M,32898,474695,6930.345
Total,2016,2016,82 years,82,,,67120,1135109,5913.089
,2016,2016,83 years,83,Female,F,36058,636001,5669.488
,2016,2016,83 years,83,Male,M,33700,443081,7605.833
Total,2016,2016,83 years,83,,,69758,1079082,6464.569
,2016,2016,84 years,84,Female,F,38253,602402,6350.079
,2016,2016,84 years,84,Male,M,34663,406488,8527.435
Total,2016,2016,84 years,84,,,72916,1008890,7227.349
,2016,2016,85 years,85,Female,F,41051,Not Applicable,Not Applicable
,2016,2016,85 years,85,Male,M,34866,Not Applicable,Not Applicable
Total,2016,2016,85 years,85,,,75917,Not Applicable,Not Applicable
,2016,2016,86 years,86,Female,F,42459,Not Applicable,Not Applicable
,2016,2016,86 years,86,Male,M,35058,Not Applicable,Not Applicable
Total,2016,2016,86 years,86,,,77517,Not Applicable,Not Applicable
,2016,2016,87 years,87,Female,F,43269,Not Applicable,Not Applicable
,2016,2016,87 years,87,Male,M,33753,Not Applicable,Not Applicable
Total,2016,2016,87 years,87,,,77022,Not Applicable,Not Applicable
,2016,2016,88 years,88,Female,F,44814,Not Applicable,Not Applicable
,2016,2016,88 years,88,Male,M,32916,Not Applicable,Not Applicable
Total,2016,2016,88 years,88,,,77730,Not Applicable,Not Applicable
,2016,2016,89 years,89,Female,F,44823,Not Applicable,Not Applicable
,2016,2016,89 years,89,Male,M,31470,Not Applicable,Not Applicable
Total,2016,2016,89 years,89,,,76293,Not Applicable,Not Applicable
,2016,2016,90 years,90,Female,F,44061,Not Applicable,Not Applicable
,2016,2016,90 years,90,Male,M,28742,Not Applicable,Not Applicable
Total,2016,2016,90 years,90,,,72803,Not Applicable,Not Applicable
,2016,2016,91 years,91,Female,F,43368,Not Applicable,Not Applicable
,2016,2016,91 years,91,Male,M,26088,Not Applicable,Not Applicable
Total,2016,2016,91 years,91,,,69456,Not Applicable,Not Applicable
,2016,2016,92 years,92,Female,F,40362,Not Applicable,Not Applicable
,2016,2016,92 years,92,Male,M,22897,Not Applicable,Not Applicable
Total,2016,2016,92 years,92,,,63259,Not Applicable,Not Applicable
,2016,2016,93 years,93,Female,F,36549,Not Applicable,Not Applicable
,2016,2016,93 years,93,Male,M,19433,Not Applicable,Not Applicable
Total,2016,2016,93 years,93,,,55982,Not Applicable,Not Applicable
,2016,2016,94 years,94,Female,F,33094,Not Applicable,Not Applicable
,2016,2016,94 years,94,Male,M,16177,Not Applicable,Not Applicable
Total,2016,2016,94 years,94,,,49271,Not Applicable,Not Applicable
,2016,2016,95 years,95,Female,F,28427,Not Applicable,Not Applicable
,2016,2016,95 years,95,Male,M,12795,Not Applicable,Not Applicable
Total,2016,2016,95 years,95,,,41222,Not Applicable,Not Applicable
,2016,2016,96 years,96,Female,F,23356,Not Applicable,Not Applicable
,2016,2016,96 years,96,Male,M,9608,Not Applicable,Not Applicable
Total,2016,2016,96 years,96,,,32964,Not Applicable,Not Applicable
,2016,2016,97 years,97,Female,F,17890,Not Applicable,Not Applicable
,2016,2016,97 years,97,Male,M,6496,Not Applicable,Not Applicable
Total,2016,2016,97 years,97,,,24386,Not Applicable,Not Applicable
,2016,2016,98 years,98,Female,F,14343,Not Applicable,Not Applicable
,2016,2016,98 years,98,Male,M,4867,Not Applicable,Not Applicable
Total,2016,2016,98 years,98,,,19210,Not Applicable,Not Applicable
,2016,2016,99 years,99,Female,F,10451,Not Applicable,Not Applicable
,2016,2016,99 years,99,Male,M,3143,Not Applicable,Not Applicable
Total,2016,2016,99 years,99,,,13594,Not Applicable,Not Applicable
,2016,2016,100+ years,100,Female,F,22790,Not Applicable,Not Applicable
,2016,2016,100+ years,100,Male,M,5046,Not Applicable,Not Applicable
Total,2016,2016,100+ years,100,,,27836,Not Applicable,Not Applicable
,2016,2016,Not Stated,NS,Female,F,40,Not Applicable,Not Applicable
,2016,2016,Not Stated,NS,Male,M,97,Not Applicable,Not Applicable
Total,2016,2016,Not Stated,NS,,,137,Not Applicable,Not Applicable
Total,2016,2016,,,,,2744248,323127513,849.277
,2017,2017,< 1 year,0,Female,F,9867,1924145,512.799
,2017,2017,< 1 year,0,Male,M,12468,2015150,618.713
Total,2017,2017,< 1 year,0,,,22335,3939295,566.98
,2017,2017,1 year,1,Female,F,658,1943534,33.856
,2017,2017,1 year,1,Male,M,859,2031718,42.279
Total,2017,2017,1 year,1,,,1517,3975252,38.161
,2017,2017,2 years,2,Female,F,405,1965150,20.609
,2017,2017,2 years,2,Male,M,587,2056625,28.542
Total,2017,2017,2 years,2,,,992,4021775,24.666
,2017,2017,3 years,3,Female,F,312,1956281,15.949
,2017,2017,3 years,3,Male,M,461,2050474,22.483
Total,2017,2017,3 years,3,,,773,4006755,19.292
,2017,2017,4 years,4,Female,F,273,1953782,13.973
,2017,2017,4 years,4,Male,M,325,2042001,15.916
Total,2017,2017,4 years,4,,,598,3995783,14.966
,2017,2017,5 years,5,Female,F,211,1956268,10.786
,2017,2017,5 years,5,Male,M,300,2045050,14.67
Total,2017,2017,5 years,5,,,511,4001318,12.771
,2017,2017,6 years,6,Female,F,213,1976331,10.778
,2017,2017,6 years,6,Male,M,242,2069201,11.695
Total,2017,2017,6 years,6,,,455,4045532,11.247
,2017,2017,7 years,7,Female,F,219,1979376,11.064
,2017,2017,7 years,7,Male,M,267,2063003,12.942
Total,2017,2017,7 years,7,,,486,4042379,12.023
,2017,2017,8 years,8,Female,F,206,1980666,10.401
,2017,2017,8 years,8,Male,M,248,2062172,12.026
Total,2017,2017,8 years,8,,,454,4042838,11.23
,2017,2017,9 years,9,Female,F,206,2043456,10.081
,2017,2017,9 years,9,Male,M,242,2128715,11.368
Total,2017,2017,9 years,9,,,448,4172171,10.738
,2017,2017,10 years,10,Female,F,200,2051237,9.75
,2017,2017,10 years,10,Male,M,294,2140682,13.734
Total,2017,2017,10 years,10,,,494,4191919,11.785
,2017,2017,11 years,11,Female,F,218,2034143,10.717
,2017,2017,11 years,11,Male,M,304,2123819,14.314
Total,2017,2017,11 years,11,,,522,4157962,12.554
,2017,2017,12 years,12,Female,F,218,2029693,10.741
,2017,2017,12 years,12,Male,M,383,2116260,18.098
Total,2017,2017,12 years,12,,,601,4145953,14.496
,2017,2017,13 years,13,Female,F,274,2035757,13.459
,2017,2017,13 years,13,Male,M,428,2119558,20.193
Total,2017,2017,13 years,13,,,702,4155315,16.894
,2017,2017,14 years,14,Female,F,337,2022552,16.662
,2017,2017,14 years,14,Male,M,561,2104753,26.654
Total,2017,2017,14 years,14,,,898,4127305,21.758
,2017,2017,15 years,15,Female,F,423,2015751,20.985
,2017,2017,15 years,15,Male,M,796,2098809,37.926
Total,2017,2017,15 years,15,,,1219,4114560,29.626
,2017,2017,16 years,16,Female,F,512,2066782,24.773
,2017,2017,16 years,16,Male,M,1169,2155909,54.223
Total,2017,2017,16 years,16,,,1681,4222691,39.809
,2017,2017,17 years,17,Female,F,551,2098704,26.254
,2017,2017,17 years,17,Male,M,1411,2197871,64.198
Total,2017,2017,17 years,17,,,1962,4296575,45.664
,2017,2017,18 years,18,Female,F,744,2071758,35.912
,2017,2017,18 years,18,Male,M,2018,2169468,93.018
Total,2017,2017,18 years,18,,,2762,4241226,65.123
,2017,2017,19 years,19,Female,F,807,2078174,38.832
,2017,2017,19 years,19,Male,M,2455,2178434,112.696
Total,2017,2017,19 years,19,,,3262,4256608,76.634
,2017,2017,20 years,20,Female,F,904,2089336,43.267
,2017,2017,20 years,20,Male,M,2633,2187409,120.371
Total,2017,2017,20 years,20,,,3537,4276745,82.703
,2017,2017,21 years,21,Female,F,1028,2104329,48.852
,2017,2017,21 years,21,Male,M,2864,2213975,129.36
Total,2017,2017,21 years,21,,,3892,4318304,90.128
,2017,2017,22 years,22,Female,F,1087,2150615,50.544
,2017,2017,22 years,22,Male,M,3115,2270148,137.216
Total,2017,2017,22 years,22,,,4202,4420763,95.051
,2017,2017,23 years,23,Female,F,1207,2196524,54.95
,2017,2017,23 years,23,Male,M,3387,2318784,146.068
Total,2017,2017,23 years,23,,,4594,4515308,101.743
,2017,2017,24 years,24,Female,F,1259,2228689,56.491
,2017,2017,24 years,24,Male,M,3655,2358826,154.95
Total,2017,2017,24 years,24,,,4914,4587515,107.117
,2017,2017,25 years,25,Female,F,1413,2295484,61.556
,2017,2017,25 years,25,Male,M,3851,2413370,159.569
Total,2017,2017,25 years,25,,,5264,4708854,111.789
,2017,2017,26 years,26,Female,F,1413,2350352,60.119
,2017,2017,26 years,26,Male,M,4102,2443974,167.841
Total,2017,2017,26 years,26,,,5515,4794326,115.032
,2017,2017,27 years,27,Female,F,1665,2351456,70.807
,2017,2017,27 years,27,Male,M,4147,2432679,170.47
Total,2017,2017,27 years,27,,,5812,4784135,121.485
,2017,2017,28 years,28,Female,F,1745,2260383,77.199
,2017,2017,28 years,28,Male,M,4170,2335023,178.585
Total,2017,2017,28 years,28,,,5915,4595406,128.716
,2017,2017,29 years,29,Female,F,1655,2210555,74.868
,2017,2017,29 years,29,Male,M,4115,2277184,180.706
Total,2017,2017,29 years,29,,,5770,4487739,128.573
,2017,2017,30 years,30,Female,F,1786,2174279,82.142
,2017,2017,30 years,30,Male,M,4033,2236352,180.338
Total,2017,2017,30 years,30,,,5819,4410631,131.931
,2017,2017,31 years,31,Female,F,1916,2183649,87.743
,2017,2017,31 years,31,Male,M,4244,2241759,189.316
Total,2017,2017,31 years,31,,,6160,4425408,139.196
,2017,2017,32 years,32,Female,F,2028,2204770,91.982
,2017,2017,32 years,32,Male,M,4432,2248948,197.07
Total,2017,2017,32 years,32,,,6460,4453718,145.047
,2017,2017,33 years,33,Female,F,2166,2142863,101.08
,2017,2017,33 years,33,Male,M,4453,2168114,205.386
Total,2017,2017,33 years,33,,,6619,4310977,153.538
,2017,2017,34 years,34,Female,F,2279,2177520,104.66
,2017,2017,34 years,34,Male,M,4602,2193958,209.758
Total,2017,2017,34 years,34,,,6881,4371478,157.407
,2017,2017,35 years,35,Female,F,2385,2179052,109.451
,2017,2017,35 years,35,Male,M,4661,2185895,213.231
Total,2017,2017,35 years,35,,,7046,4364947,161.422
,2017,2017,36 years,36,Female,F,2460,2157640,114.013
,2017,2017,36 years,36,Male,M,4809,2156347,223.016
Total,2017,2017,36 years,36,,,7269,4313987,168.498
,2017,2017,37 years,37,Female,F,2662,2190170,121.543
,2017,2017,37 years,37,Male,M,4920,2204181,223.212
Total,2017,2017,37 years,37,,,7582,4394351,172.54
,2017,2017,38 years,38,Female,F,2519,2063849,122.054
,2017,2017,38 years,38,Male,M,4831,2056619,234.9
Total,2017,2017,38 years,38,,,7350,4120468,178.378
,2017,2017,39 years,39,Female,F,2770,2025301,136.77
,2017,2017,39 years,39,Male,M,4884,2012943,242.63
Total,2017,2017,39 years,39,,,7654,4038244,189.538
,2017,2017,40 years,40,Female,F,2898,2009156,144.24
,2017,2017,40 years,40,Male,M,5074,1985267,255.583
Total,2017,2017,40 years,40,,,7972,3994423,199.578
,2017,2017,41 years,41,Female,F,2956,1948683,151.692
,2017,2017,41 years,41,Male,M,5045,1927055,261.798
Total,2017,2017,41 years,41,,,8001,3875738,206.438
,2017,2017,42 years,42,Female,F,3277,2003193,163.589
,2017,2017,42 years,42,Male,M,5236,1987507,263.446
Total,2017,2017,42 years,42,,,8513,3990700,213.321
,2017,2017,43 years,43,Female,F,3436,1947353,176.445
,2017,2017,43 years,43,Male,M,5464,1916102,285.162
Total,2017,2017,43 years,43,,,8900,3863455,230.364
,2017,2017,44 years,44,Female,F,3641,1981873,183.715
,2017,2017,44 years,44,Male,M,5868,1937184,302.914
Total,2017,2017,44 years,44,,,9509,3919057,242.635
,2017,2017,45 years,45,Female,F,4140,2066554,200.334
,2017,2017,45 years,45,Male,M,6870,2025025,339.255
Total,2017,2017,45 years,45,,,11010,4091579,269.089
,2017,2017,46 years,46,Female,F,4863,2183846,222.681
,2017,2017,46 years,46,Male,M,7680,2136737,359.427
Total,2017,2017,46 years,46,,,12543,4320583,290.308
,2017,2017,47 years,47,Female,F,5251,2201202,238.551
,2017,2017,47 years,47,Male,M,8282,2169762,381.701
Total,2017,2017,47 years,47,,,13533,4370964,309.611
,2017,2017,48 years,48,Female,F,5441,2089271,260.426
,2017,2017,48 years,48,Male,M,8450,2050739,412.047
Total,2017,2017,48 years,48,,,13891,4140010,335.531
,2017,2017,49 years,49,Female,F,5780,2046810,282.391
,2017,2017,49 years,49,Male,M,8941,2003912,446.177
Total,2017,2017,49 years,49,,,14721,4050722,363.417
,2017,2017,50 years,50,Female,F,6490,2053593,316.031
,2017,2017,50 years,50,Male,M,9935,1997485,497.375
Total,2017,2017,50 years,50,,,16425,4051078,405.448
,2017,2017,51 years,51,Female,F,7200,2089015,344.66
,2017,2017,51 years,51,Male,M,11297,2032379,555.851
Total,2017,2017,51 years,51,,,18497,4121394,448.804
,2017,2017,52 years,52,Female,F,8160,2214239,368.524
,2017,2017,52 years,52,Male,M,12566,2148966,584.746
Total,2017,2017,52 years,52,,,20726,4363205,475.018
,2017,2017,53 years,53,Female,F,9047,2261664,400.015
,2017,2017,53 years,53,Male,M,14244,2175762,654.667
Total,2017,2017,53 years,53,,,23291,4437426,524.876
,2017,2017,54 years,54,Female,F,9966,2262401,440.505
,2017,2017,54 years,54,Male,M,15539,2165590,717.541
Total,2017,2017,54 years,54,,,25505,4427991,575.995
,2017,2017,55 years,55,Female,F,10959,2258814,485.166
,2017,2017,55 years,55,Male,M,17001,2154452,789.11
Total,2017,2017,55 years,55,,,27960,4413266,633.544
,2017,2017,56 years,56,Female,F,11882,2290060,518.851
,2017,2017,56 years,56,Male,M,18374,2171286,846.227
Total,2017,2017,56 years,56,,,30256,4461346,678.181
,2017,2017,57 years,57,Female,F,12929,2303341,561.315
,2017,2017,57 years,57,Male,M,19776,2190232,902.918
Total,2017,2017,57 years,57,,,32705,4493573,727.817
,2017,2017,58 years,58,Female,F,13554,2232903,607.012
,2017,2017,58 years,58,Male,M,20854,2102988,991.637
Total,2017,2017,58 years,58,,,34408,4335891,793.562
,2017,2017,59 years,59,Female,F,14387,2222318,647.387
,2017,2017,59 years,59,Male,M,22382,2081562,1075.25
Total,2017,2017,59 years,59,,,36769,4303880,854.322
,2017,2017,60 years,60,Female,F,15369,2202546,697.783
,2017,2017,60 years,60,Male,M,23683,2047375,1156.749
Total,2017,2017,60 years,60,,,39052,4249921,918.888
,2017,2017,61 years,61,Female,F,15902,2128409,747.131
,2017,2017,61 years,61,Male,M,24309,1963253,1238.2
Total,2017,2017,61 years,61,,,40211,4091662,982.755
,2017,2017,62 years,62,Female,F,16467,2111180,779.99
,2017,2017,62 years,62,Male,M,25388,1938979,1309.349
Total,2017,2017,62 years,62,,,41855,4050159,1033.416
,2017,2017,63 years,63,Female,F,17301,2032205,851.341
,2017,2017,63 years,63,Male,M,26512,1843702,1437.976
Total,2017,2017,63 years,63,,,43813,3875907,1130.393
,2017,2017,64 years,64,Female,F,17921,1956079,916.17
,2017,2017,64 years,64,Male,M,27056,1763974,1533.809
Total,2017,2017,64 years,64,,,44977,3720053,1209.042
,2017,2017,65 years,65,Female,F,18620,1878995,990.955
,2017,2017,65 years,65,Male,M,27527,1688983,1629.797
Total,2017,2017,65 years,65,,,46147,3567978,1293.366
,2017,2017,66 years,66,Female,F,19061,1825058,1044.405
,2017,2017,66 years,66,Male,M,27805,1626011,1710.013
Total,2017,2017,66 years,66,,,46866,3451069,1358.014
,2017,2017,67 years,67,Female,F,19936,1778116,1121.187
,2017,2017,67 years,67,Male,M,28708,1583631,1812.796
Total,2017,2017,67 years,67,,,48644,3361747,1446.986
,2017,2017,68 years,68,Female,F,21697,1723919,1258.586
,2017,2017,68 years,68,Male,M,29696,1527330,1944.308
Total,2017,2017,68 years,68,,,51393,3251249,1580.716
,2017,2017,69 years,69,Female,F,23515,1700425,1382.89
,2017,2017,69 years,69,Male,M,31522,1503913,2095.999
Total,2017,2017,69 years,69,,,55037,3204338,1717.578
,2017,2017,70 years,70,Female,F,25874,1765955,1465.156
,2017,2017,70 years,70,Male,M,34188,1558707,2193.356
Total,2017,2017,70 years,70,,,60062,3324662,1806.56
,2017,2017,71 years,71,Female,F,21865,1307666,1672.063
,2017,2017,71 years,71,Male,M,28792,1136177,2534.112
Total,2017,2017,71 years,71,,,50657,2443843,2072.842
,2017,2017,72 years,72,Female,F,23530,1290521,1823.295
,2017,2017,72 years,72,Male,M,29455,1108765,2656.559
Total,2017,2017,72 years,72,,,52985,2399286,2208.365
,2017,2017,73 years,73,Female,F,25389,1255382,2022.412
,2017,2017,73 years,73,Male,M,31658,1066091,2969.54
Total,2017,2017,73 years,73,,,57047,2321473,2457.362
,2017,2017,74 years,74,Female,F,28192,1280269,2202.037
,2017,2017,74 years,74,Male,M,34580,1077532,3209.185
Total,2017,2017,74 years,74,,,62772,2357801,2662.311
,2017,2017,75 years,75,Female,F,27378,1115294,2454.779
,2017,2017,75 years,75,Male,M,32363,923942,3502.709
Total,2017,2017,75 years,75,,,59741,2039236,2929.578
,2017,2017,76 years,76,Female,F,27440,1019726,2690.919
,2017,2017,76 years,76,Male,M,31884,827432,3853.368
Total,2017,2017,76 years,76,,,59324,1847158,3211.636
,2017,2017,77 years,77,Female,F,28187,959502,2937.67
,2017,2017,77 years,77,Male,M,32283,769612,4194.711
Total,2017,2017,77 years,77,,,60470,1729114,3497.167
,2017,2017,78 years,78,Female,F,29753,894185,3327.388
,2017,2017,78 years,78,Male,M,32945,713055,4620.261
Total,2017,2017,78 years,78,,,62698,1607240,3900.973
,2017,2017,79 years,79,Female,F,31235,853738,3658.617
,2017,2017,79 years,79,Male,M,34030,664775,5119.025
Total,2017,2017,79 years,79,,,65265,1518513,4297.955
,2017,2017,80 years,80,Female,F,32267,782413,4124.037
,2017,2017,80 years,80,Male,M,33752,596081,5662.318
Total,2017,2017,80 years,80,,,66019,1378494,4789.212
,2017,2017,81 years,81,Female,F,33792,741699,4556.026
,2017,2017,81 years,81,Male,M,34438,552132,6237.277
Total,2017,2017,81 years,81,,,68230,1293831,5273.486
,2017,2017,82 years,82,Female,F,35949,706475,5088.503
,2017,2017,82 years,82,Male,M,35325,510165,6924.23
Total,2017,2017,82 years,82,,,71274,1216640,5858.265
,2017,2017,83 years,83,Female,F,36345,626409,5802.12
,2017,2017,83 years,83,Male,M,34510,441701,7812.978
Total,2017,2017,83 years,83,,,70855,1068110,6633.68
,2017,2017,84 years,84,Female,F,38742,599235,6465.243
,2017,2017,84 years,84,Male,M,35141,408980,8592.352
Total,2017,2017,84 years,84,,,73883,1008215,7328.1
,2017,2017,85 years,85,Female,F,40257,Not Applicable,Not Applicable
,2017,2017,85 years,85,Male,M,35384,Not Applicable,Not Applicable
Total,2017,2017,85 years,85,,,75641,Not Applicable,Not Applicable
,2017,2017,86 years,86,Female,F,42520,Not Applicable,Not Applicable
,2017,2017,86 years,86,Male,M,35686,Not Applicable,Not Applicable
Total,2017,2017,86 years,86,,,78206,Not Applicable,Not Applicable
,2017,2017,87 years,87,Female,F,44273,Not Applicable,Not Applicable
,2017,2017,87 years,87,Male,M,35162,Not Applicable,Not Applicable
Total,2017,2017,87 years,87,,,79435,Not Applicable,Not Applicable
,2017,2017,88 years,88,Female,F,44242,Not Applicable,Not Applicable
,2017,2017,88 years,88,Male,M,33508,Not Applicable,Not Applicable
Total,2017,2017,88 years,88,,,77750,Not Applicable,Not Applicable
,2017,2017,89 years,89,Female,F,44878,Not Applicable,Not Applicable
,2017,2017,89 years,89,Male,M,32211,Not Applicable,Not Applicable
Total,2017,2017,89 years,89,,,77089,Not Applicable,Not Applicable
,2017,2017,90 years,90,Female,F,45156,Not Applicable,Not Applicable
,2017,2017,90 years,90,Male,M,29853,Not Applicable,Not Applicable
Total,2017,2017,90 years,90,,,75009,Not Applicable,Not Applicable
,2017,2017,91 years,91,Female,F,43444,Not Applicable,Not Applicable
,2017,2017,91 years,91,Male,M,26409,Not Applicable,Not Applicable
Total,2017,2017,91 years,91,,,69853,Not Applicable,Not Applicable
,2017,2017,92 years,92,Female,F,41763,Not Applicable,Not Applicable
,2017,2017,92 years,92,Male,M,24090,Not Applicable,Not Applicable
Total,2017,2017,92 years,92,,,65853,Not Applicable,Not Applicable
,2017,2017,93 years,93,Female,F,37919,Not Applicable,Not Applicable
,2017,2017,93 years,93,Male,M,20246,Not Applicable,Not Applicable
Total,2017,2017,93 years,93,,,58165,Not Applicable,Not Applicable
,2017,2017,94 years,94,Female,F,33888,Not Applicable,Not Applicable
,2017,2017,94 years,94,Male,M,16675,Not Applicable,Not Applicable
Total,2017,2017,94 years,94,,,50563,Not Applicable,Not Applicable
,2017,2017,95 years,95,Female,F,30096,Not Applicable,Not Applicable
,2017,2017,95 years,95,Male,M,13694,Not Applicable,Not Applicable
Total,2017,2017,95 years,95,,,43790,Not Applicable,Not Applicable
,2017,2017,96 years,96,Female,F,24926,Not Applicable,Not Applicable
,2017,2017,96 years,96,Male,M,10480,Not Applicable,Not Applicable
Total,2017,2017,96 years,96,,,35406,Not Applicable,Not Applicable
,2017,2017,97 years,97,Female,F,19849,Not Applicable,Not Applicable
,2017,2017,97 years,97,Male,M,7532,Not Applicable,Not Applicable
Total,2017,2017,97 years,97,,,27381,Not Applicable,Not Applicable
,2017,2017,98 years,98,Female,F,14709,Not Applicable,Not Applicable
,2017,2017,98 years,98,Male,M,4971,Not Applicable,Not Applicable
Total,2017,2017,98 years,98,,,19680,Not Applicable,Not Applicable
,2017,2017,99 years,99,Female,F,11323,Not Applicable,Not Applicable
,2017,2017,99 years,99,Male,M,3528,Not Applicable,Not Applicable
Total,2017,2017,99 years,99,,,14851,Not Applicable,Not Applicable
,2017,2017,100+ years,100,Female,F,23926,Not Applicable,Not Applicable
,2017,2017,100+ years,100,Male,M,5437,Not Applicable,Not Applicable
Total,2017,2017,100+ years,100,,,29363,Not Applicable,Not Applicable
,2017,2017,Not Stated,NS,Female,F,38,Not Applicable,Not Applicable
,2017,2017,Not Stated,NS,Male,M,91,Not Applicable,Not Applicable
Total,2017,2017,Not Stated,NS,,,129,Not Applicable,Not Applicable
Total,2017,2017,,,,,2813503,325719178,863.782
,2018,2018,< 1 year,0,Female,F,9399,1879703,500.026
,2018,2018,< 1 year,0,Male,M,12068,1968505,613.054
Total,2018,2018,< 1 year,0,,,21467,3848208,557.844
,2018,2018,1 year,1,Female,F,617,1911513,32.278
,2018,2018,1 year,1,Male,M,831,2001387,41.521
Total,2018,2018,1 year,1,,,1448,3912900,37.006
,2018,2018,2 years,2,Female,F,435,1951366,22.292
,2018,2018,2 years,2,Male,M,612,2040071,29.999
Total,2018,2018,2 years,2,,,1047,3991437,26.231
,2018,2018,3 years,3,Female,F,291,1972327,14.754
,2018,2018,3 years,3,Male,M,454,2064235,21.994
Total,2018,2018,3 years,3,,,745,4036562,18.456
,2018,2018,4 years,4,Female,F,244,1963164,12.429
,2018,2018,4 years,4,Male,M,346,2058004,16.812
Total,2018,2018,4 years,4,,,590,4021168,14.672
